Time consumption table,,,,,,,,,,,,
,,Leaving From,,,,,,,,,,
,,Shanghai,Beijing,Guangzhou,Hong Kong,Wuhan,Seoul,Tokyo,San Francisco,Vancouver,Toronto,Calgary
Going to,Shanghai,N/A,2h20m,2h20m,2h45m,1h35m,2h10m,3h20m,N/A,11h40m,14h30m,N/A
,Beijing,2h20m,N/A,3h15m,3h25m,2h5m,2h20m,4h5m,N/A,10h30m,N/A,N/A
,Guangzhou,2h30m,3h20m,N/A,N/A,1h45m,3h30m,4h45m,N/A,N/A,15h40m,N/A
,Hong Kong,2h45m,4h15m,2h20m,N/A,2h15m,3h45m,4h55m,14h15m,13h55m,15h10m,N/A
,Wuhan,1h50m,2h30m,1h55m,2h,N/A,3h10m,N/A,N/A,N/A,N/A,N/A
,Seoul,2h5m,2h,3h35m,3h40m,N/A,N/A,2h40m,12h25m,11h,13h40m,N/A
,Tokyo,2h40m,3h30m,N/A,4h30m,N/A,2h25m,N/A,10h40m,9h55m,12h55m,N/A
,San Francisco,9h,11h20m,N/A,N/A,N/A,10h20m,9h40m,N/A,2h30m,5h34m,2h59m
,Vancouver,10h20m,10h30m,N/A,11h50m,N/A,9h50m,8h35m,2h20m,N/A,5h,1h30m
,Toronto,14h25m,12h45m,15h10m,N/A,N/A,13h20m,12h,4h56m,4h30m,N/A,3h50m
,Calgary,N/A,10h50m,N/A,N/A,N/A,N/A,N/A,2h38m,1h22m,4h10m,N/A
,,,,,,,,,,,,
 Cost of flights table,,,,,,,,,,,,
,,Leaving From,,,,,,,,,,
,,Shanghai,Beijing,Guangzhou,Hong Kong,Wuhan,Seoul,Tokyo,San Francisco,Vancouver,Toronto,Calgary
Going to,Shanghai,N/A,129,86,470,99,761,2412,N/A,1132,1853,N/A
,Beijing,136,N/A,140,649,84,1686,2466,N/A,1230,N/A,N/A
,Guangzhou,122,182,N/A,N/A,79,698,2501,N/A,N/A,3560,N/A
,Hong Kong,343,652,190,N/A,336,251,175,1213,1574,1186,N/A
,Wuhan,169,139,83,463,N/A,962,N/A,N/A,N/A,N/A,N/A
,Seoul,662,777,1473,229,N/A,N/A,113,972,916,1402,N/A
,Tokyo,2060,1379,N/A,416,N/A,286,N/A,1628,894,1009,N/A
,San Francisco,3109,1774,N/A,N/A,N/A,988,2394,N/A,104,438,197
,Vancouver,4593,2166,N/A,2322,N/A,1205,1963,91,N/A,226,101
,Toronto,1951,1682,2472,N/A,N/A,2047,2321,284,197,N/A,175
,Calgary,N/A,3084,N/A,N/A,N/A,N/A,N/A,124,43,227,N/A
